<p>a                             一个
suasion                          温文尔雅
suave                            温文尔雅
suaveness                        柔和
suavity                          子
sub                              下属
subaltern                        水下
subaqua                          亚北极
subarctic                        子区域
subarea                          亚原子
subatomic                        地下室
subbasement                      已替换
subbed                           替代
subbing                          支行
subbranch                        子類別
subcategory                      子类
subclass                         小组委员会
subcommittee                     小型车
subcompact                       潜意识
subconscious                     潜意识
subconsciousness                 次大陆
subcontinent                     次大陆
subcontinental                   分包
subcontract                      分包商
subcontractor                    亚文化
subculture                       皮下
subcutaneous                     细分
subdivide                        细分
subdivision                      子域名
subdomain                        次要的
subdominant                      征服
subdue                           副主编
subeditor                        亚科
subfamily                        低于冰点
subfreezing                      子群
subgroup                         副标题
subhead                          副标题
subheading                       亚人类
subhuman                         主语
subj                             主题
subject                          隶属
subjection                       主观
subjective                       主观性
subjectivity                     附加
subjoin                          征服
subjugate                        征服
subjugation                      虚拟语气
subjunctive                      转租
sublease                         转租
sublet                           转租
subletting                       少尉
sublieutenant                    升华
sublimate                        升华
sublimation                      升华
sublime                          潜意识的
subliminal                       崇高
sublimity                        舌下
sublingual                       亚边缘
submarginal                      潜艇
submarine                        潜艇兵
submariner                       淹没
submerge                         沉没
submergence                      沉没
submerse                         潜水器
submersible                      浸没
submersion                       亚微观
submicroscopic                   提交
submission                       顺从的
submissive                       顺从
submissiveness                   提交
submit                           已提交
submitted                        提交者
submitter                        提交
submitting                       低于正常水平
subnormal                        亚轨道
suborbital                       子订单
suborder                         下属
subordinate                      从属
subordination                    贿赂
suborn                           教唆
subornation                      欠佳
subpar                           分段
subparagraph                     子部分
subpart                          子情节
subplot                          传票
subpoena                         次级贷款
subprime                         次级专业
subprofessional                  子程序
subprogram                       子程序
subroutine                       订阅
subscribe                        订户
subscriber                       下标
subscript                        订阅
subscription                     小节
subsection                       随后的
subsequent                       屈从
subservience                     屈从
subservient                      子集
subset                           塌陷
subside                          沉降
subsidence                       辅助性原则
subsidiarity                     子公司
subsidiary                       补贴
subsidization                    资助
subsidize                        补贴者
subsidizer                       补贴
subsidy                          生存
subsist                          生存
subsistence                      底土
subsoil                          亚音速
subsonic                         子空间
subspace                         亚种
subspecies                       物质
substance                        不达标准
substandard                      重大的
substantial                      证实
substantiate                     证实
substantiated                    证实
substantiation                   实质性
substantive                      变电站
substation                       取代基
substituent                      代替
substitute                       替代
substitution                     底层
substrata                        基材
substrate                        基质
substratum                       子结构
substructure                     吸收
subsume                          纳入
subsumption                      地下
subsurface                       子系统
subsystem                        亚青少年
subteen                          转租
subtenancy                       转租人
subtenant                        对面
subtend                          托词
subterfuge                       地下
subterranean                     潜台词
subtext                          字幕
subtitle                         微妙的
subtle                           微妙
subtlety                         巧妙地
subtly                           副主题
subtopic                         小计
subtotal                         减去
subtract                         减法
subtraction                      减数
subtrahend                       亚热带
subtropic                        亚热带
subtropical                      亚热带
subtropics                       市郊
suburb                           郊区
suburban                         郊区人
suburbanite                      郊区
suburbia                         资助
subvention                       颠覆
subversion                       颠覆性的
subversive                       颠覆性
subversiveness                   颠覆
subvert                          地铁
subway                           零下
subzero                          成功
succeed                          成功
success                          成功的
successful                       演替
succession                       连续
successive                       接班人
successor                        简洁
succinct                         简洁
succinctness                     救助
succor                           玉米煮粥
succotash                        魅魔
succubi                          魅魔
succubus                         多汁
succulence                       多汁
succulency                       多汁的
succulent                        屈服
succumb                          这样的
such                             诸如此类
suchlike                         吮吸
suck                             吸盘
sucker                           哺乳
suckle                           乳
suckling                         蔗糖
sucrose                          吸
suction                          突然
sudden                           突然性
suddenness                       泡沫
suds                             泡沫状
sudsy                            起诉
sue                              麂皮
suede                            羊脂
suet                             苏蒂
suety                            遭受
suffer                           忍耐
sufferance                       患者
sufferer                         痛苦
suffering                        足够
suffice                          充足性
sufficiency                      充足的
sufficient                       后缀
suffix                           后缀
suffixation                      窒息
suffocate                        窒息
suffocation                      副主教
suffragan                        选举权
suffrage                         妇女参政论者
suffragette                      妇女参政论者
suffragist                       弥漫
suffuse                          弥漫
suffusion                        糖
sugar                            蔗
sugarcane                        糖衣
sugarcoat                        无糖
sugarless                        糖果
sugarplum                        含糖
sugary                           建议
suggest                          暗示性
suggestibility                   易受暗示
suggestible                      建议
suggestion                       暗示性的
suggestive                       暗示性
suggestiveness                   自杀
suicidal                         自杀
suicide                          套装
suit                             适应性
suitability                      适用性
suitableness                     适当地
suitably                         手提箱
suitcase                         套房
suite                            适合
suited                           西装
suiting                          追求者
suitor                           寿喜烧
sukiyaki                         磺胺类
sulfa                            硫酸盐
sulfate                          硫化物
sulfide                          磺胺类药物
sulfonamides                     硫
sulfur                           硫酸
sulfuric                         含硫
sulfurous                        生闷气
sulk                             闷闷不乐地
sulkily                          闷闷不乐
sulkiness                        生气
sulky                            忧郁
sullen                           郁闷
sullenness                       玷污了
sullied                          玷污
sully                            苏丹
sultan                           苏丹娜
sultana                          苏丹国
sultanate                        闷热地
sultrily                         闷热
sultriness                       闷热
sultry                           和
sum                              漆树
sumac                            概括地
summarily                        总结
summarize                        概括
summary                          萨马特
summat                           总结
summation                        总结
summed                           夏天
summer                           凉亭
summerhouse                      夏令
summertime                       夏日的
summery                          求和
summing                          首脑
summit                           峰会
summitry                         召唤
summon                           召唤师
summoner                         传票
summons                          相扑
sumo                             油底壳
sump                             豪华
sumptuous                        豪华
sumptuousness                    太阳
sun                              日光浴
sunbath                          晒太阳
sunbathe                         日光浴者
sunbather                        日光浴
sunbathing                       日光浴
sunbaths                         阳光
sunbeam                          日光浴床
sunbed                           阳光地带
sunbelt                          防晒霜
sunblock                         太阳帽
sunbonnet                        晒斑
sunburn                          旭日
sunburst                         圣代
sundae                           日光浴平台
sundeck                          破坏
sunder                           晷
sundial                          日落
sundown                          太阳裙
sundress                         杂物
sundries                         杂项
sundry                           太阳鱼
sunfish                          向日葵
sunflower                        唱
sung                             太阳镜
sunglasses                       太阳帽
sunhat                           沉没
sunk                             日光灯
sunlamp                          无阳光
sunless                          阳光
sunlight                         阳光
sunlit                           晒干
sunned                           阳光
sunniness                        晒太阳
sunning                          阳光
sunny                            日出
sunrise                          天窗
sunroof                          防晒霜
sunscreen                        日落
sunset                           遮阳篷
sunshade                         阳光
sunshine                         阳光灿烂
sunshiny                         太阳黑子
sunspot                          中暑
sunstroke                        晒黑
suntan                           晒黑了
suntanned                        晒黑
suntanning                       太阳陷阱
suntrap                          日出
sunup                            晚餐
sup                              极好的
super                            过多
superabundance                   过剩
superabundant                    退休金
superannuate                     退休金
superannuation                   高超
superb                           押运员
supercargo                       押运员
supercargoes                     增强
supercharge                      增压器
supercharger                     傲慢
supercilious                     傲慢
superciliousness                 超级城市
supercity                        超级计算机
supercomputer                    超导
superconducting                  超导
superconductive                  超导
superconductivity                超导体
superconductor                   超临界
supercritical                    超我
superego                         超额履行义务
supererogation                   额外的
supererogatory                   浅
superficial                      肤浅
superficiality                   超细
superfine                        多余的
superfluity                      多余
superfluous                      多余的
superfluousness                  强力胶
superglue                        超级草
supergrass                       超级英雄
superhero                        超级英雄
superheroes                      高速公路
superhighway                     超人
superhuman                       叠加
superimpose                      叠加
superimposition                  督
superintend                      督察
superintendence                  督导
superintendency                  督察
superintendent                   优越的
superior                         优势
superiority                      最高级
superlative                      超人
superman                         超级市场
supermarket                      超大质量
supermassive                     超人
supermen                         超级名模
supermodel                       超级妈妈
supermom                         超凡的
supernal                         超自然
supernatural                     超新星
supernova                        超新星
supernovae                       编外人员
supernumerary                    叠加
superpose                        叠加
superposition                    超级大国
superpower                       过饱和
supersaturate                    过饱和
supersaturation                  上标
superscribe                      上标
superscript                      题词
superscription                   取代
supersede                        特大尺寸
supersize                        超音速
supersonic                       超级传播者
superspreader                    超级巨星
superstar                        超级巨星
superstardom                     超级大国
superstate                       迷信
superstition                     迷信的
superstitious                    超市
superstore                       上层建筑
superstructure                   超级油轮
supertanker                      超级用户
superuser                        随附
supervene                        后续干预
supervention                     监督
supervise                        受监督
supervised                       监督
supervision                      导师
supervisor                       监管
supervisory                      女超人
superwoman                       女超人
superwomen                       仰卧
supine                           补充
supp                             晚餐
supper                           晚餐时间
suppertime                       补充
suppl                            取代
supplant                         柔韧
supple                           补充
supplement                       补充
supplemental                     补充
supplementary                    补充
supplementation                  柔韧性
suppleness                       恳求者
suppliant                        恳求者
supplicant                       哀告
supplicate                       恳求
supplication                     供应商
supplier                         供应
supply                           支持
support                          可支持
supportable                      支持
supported                        支持者
supporter                        认为
suppose                          理应
supposed                         假定
supposition                      栓剂
suppository                      压制
suppress                         抑制剂
suppressant                      可抑制
suppressible                     抑制
suppression                      抑制器
suppressor                       咺
suppurate                        化脓
suppuration                      同上
supra                            超国家的
supranational                    至上主义者
supremacist                      霸权
supremacy                        最高
supreme                          最高领导人
supremo                          主管
supt                             停止
surcease                         附加费
surcharge                        肚带
surcingle                        当然
sure                             万无一失
surefire                         稳健
surefooted                       确信
sureness                         保证
surety                           冲浪
surf                             表面的
surface's                        表面
surface                          冲浪板
surfboard                        过量
surfeit                          冲浪者
surfer                           冲浪
surfing                          涌
surge                            外科医生
surgeon                          外科手术
surgery                          外科
surgical                         粗鲁
surliness                        粗暴
surly                            推测
surmise                          超越
surmount                         可以克服的
surmountable                     姓
surname                          超过
surpass                          超越
surpassed                        白法衣
surplice                         剩余
surplus                          盈余
surplussed                       盈余
surplussing                      惊喜
surprise                         奇怪
surprising                       超现实的
surreal                          超现实主义
surrealism                       超现实主义
surrealist                       超现实主义
surrealistic                     超现实地
surrealistically                 投降
surrender                        偷偷摸摸的
surreptitious                    偷偷摸摸
surreptitiousness                萨里
surrey                           代孕
surrogacy                        代孕
surrogate                        环绕
surround                         周围
surrounding                      周围环境
surroundings                     附加税
surtax                           字幕
surtitle                         监视
surveillance                     调查的
survey's                         民意调查
survey                           测量
surveying                        测量员
surveyor                         生存
survival                         生存主义者
survivalist                      存活
survive                          幸存者
survivor                         易感性
susceptibility                   易受影响的
susceptible                      寿司
sushi                            怀疑
suspect                          怀疑
suspected                        暂停
suspend                          背带
suspender                        悬念
suspense                         悬念重重
suspenseful                      暂停
suspension                       怀疑
suspicion                        可疑的
suspicious                       苏斯
suss                             维持
sustain                          可持续性
sustainability                   可持续的
sustainable                      可持续地
sustainably                      生计
sustenance                       萨特勒
sutler                           萨蒂
suttee                           缝合
suture                           宗主
suzerain                         宗主权
suzerainty                       苗条
svelte                           拭子
swab                             擦拭
swabbed                          擦拭
swabbing                         襁褓
swaddle                          赃物
swag                             摇摆
swagged                          昂首阔步
swagger                          摇摆
swagging                         斯温
swain                            吞
swallow                          燕尾蝶
swallowtail                      游泳
swam                             斯瓦米
swami                            沼泽
swamp                            沼泽地
swampland                        沼泽地
swampy                           天鹅
swan                             斯旺克
swank                            时髦地
swankily                         时髦
swankiness                       时髦的
swanky                           天鹅
swanned                          天鹅
swanning                         绝唱
swansong                         交换
swap                             交换
swapped                          交换
swapping                         草地
sward                            群
swarm                            黑黝黝的
swarthy                          花饰
swash                            侠盗
swashbuckler                     虚张声势
swashbuckling                    卍
swastika                         扑打
swat                             样本
swatch                           幅宽
swath                            捆扎
swathe                           带状
swaths                           拍打
swatted                          苍蝇拍
swatter                          拍打
swatting                         摇摆
sway                             后背下垂
swayback                         动摇
swayed                           发誓
swear                            发誓者
swearer                          脏话
swearword                        汗
sweat                            防汗带
sweatband                        毛衣
sweater                          运动裤
sweatpants                       出汗
sweats                           运动衫
sweatshirt                       血汗工厂
sweatshop                        运动服
sweatsuit                        出汗
sweaty                           瑞典人
swede                            扫
sweep                            清扫器
sweeper                          扫荡
sweeping                         扫荡
sweepings                        抽奖活动
sweepstakes                      甜的
sweet                            甜面包
sweetbread                       甜蔷薇
sweetbrier                       甜玉米
sweetcorn                        加糖
sweetened                        甜味剂
sweetener                        甜味
sweetening                       亲爱的
sweetheart                       甜心
sweetie                          微甜
sweetish                         蜜饯
sweetmeat                        甜度
sweetness                        膨胀
swell                            狂妄之徒
swellhead                        肿胀
swelling                         闷热
swelter                          席卷
swept                            后掠
sweptback                        转向
swerve                           转向
swerving                         迅速
swift                            敏捷
swiftness                        痛饮
swig                             喝了一口
swigged                          痛饮
swigging                         泔水
swill                            游泳
swim                             游泳者
swimmer                          游泳
swimming                         泳装
swimsuit                         泳装
swimwear                         骗取
swindle                          骗子
swindler                         猪
swine                            猪倌
swineherd                        摇摆
swing                            摇摆
swingeing                        摇摆者
swinger                          猪一样的
swinish                          滑动
swipe                            漩涡
swirl                            旋涡状
swirly                           嗖
swish                            转变
switch                           折返
switchback                       弹簧刀
switchblade                      总机
switchboard                      切换器
switcher                         切换
switchover                       旋转
swivel                           瑞士
swiz                             瑞士
swizz                            调酒
swizzle                          肿
swollen                          昏厥
swoon                            猛扑
swoop                            嗖
swoosh                           剑
sword                            旗鱼
swordfish                        剑术
swordplay                        剑客
swordsman                        剑术
swordsmanship                    剑客
swordsmen                        发誓
swore                            宣誓
sworn                            swot
swot                             疲倦
swotted                          苦读
swotting                         游泳
swum                             摆动
swung                            享乐主义者
sybarite                         享乐主义
sybaritic                        梧桐
sycamore                         谄媚
sycophancy                       谄媚者
sycophant                        谄媚的
sycophantic                      音节的
syllabic                         音节
syllabicate                      音节划分
syllabication                    音节化
syllabification                  音节化
syllabify                        音节
syllable                         教学大纲
syllabub                         教学大纲
syllabus                         三段论
syllogism                        三段论的
syllogistic                      翎灵
sylph                            窈窕的
sylphic                          婷
sylphlike                        翎灵
sylphs                           森林
sylvan                           共生
symbioses                        共生
symbiosis                        共生
symbiotic                        共生地
symbiotically                    象征
symbol                           象征性的
symbolic                         象征性的
symbolical                       象征意义
symbolism                        象征化
symbolization                    象征
symbolize                        符号系统
symbology                        对称
symmetric                        对称
symmetrical                      对称
symmetry                         同情的
sympathetic                      同情地
sympathetically                  同情
sympathies                       同情
sympathize                       同情者
sympathizer                      同情
sympathy                         交响乐
symphonic                        交响乐
symphony                         座谈会
symposium                        症状
symptom                          有症状的
symptomatic                      症状性地
symptomatically                  同步
syn                              犹太教堂的
synagogal                        犹太教堂
synagogue                        突触
synapse                          突触
synaptic                         同步
sync                             同步性
synchronicity                    同步
synchronization                  同步
synchronize                      同步
synchronous                      同步
synchrony                        切分音
syncopate                        切分音
syncopation                      昏厥
syncope                          工团主义
syndicalism                      工团主义者
syndicalist                      辛迪加
syndicate                        联合组织
syndication                      综合症
syndrome                         协同作用
synergism                        协同作用
synergistic                      协同作用
synergy                          合成燃料
synfuel                          宗教会议
synod                            代名词
synonym                          同义词
synonymous                       同义词
synonymy                         概要
synopses                         概要
synopsis                         概要
synoptic                         滑膜
synovial                         句法的
syntactic                        句法的
syntactical                      句法
syntax                           合成
syntheses                        合成
synthesis                        合成
synthesize                       合成器
synthesizer                      合成的
synthetic                        合成地
synthetically                    合成器
synths                           梅毒
syphilis                         梅毒性
syphilitic                       注射器
syringe                          糖浆
syrup                            糖浆状
syrupy                           系统管理员
sysadmin                         系统操作员
sysop                            系统
system                           系统的
systematic                       系统的
systematical                     系统化
systematization                  系统化
systematize                      系统性
systemic                         系统地
systemically                     收缩
systole                          收缩压
systolic                         吨
t                                塔
ta                               标签
tab                              标签式
tabbed                           制表符
tabbing                          塔布勒
tabbouleh                        虎斑猫
tabby                            圣幕
tabernacle                       塔布拉鼓
tabla                            桌子
table                            画面
tableau                          场景
tableaux                         桌布
tablecloth                       桌布
tablecloths                      台地
tableland                        汤匙
tablespoon                       汤匙
tablespoonful                    药片
tablet                           桌面
tabletop                         餐具
tableware                        小报
tabloid                          忌讳
taboo                            塔博尔
tabor                            表格
tabular                          制表
tabulate                         制表
tabulation                       制表机
tabulator                        行车记录仪
tachograph                       行车记录仪
tachographs                      转速表
tachometer                       心动过速
tachycardia                      快子
tachyon                          默契
tacit                            默契
tacitness                        沉默寡言
taciturn                         沉默寡言
taciturnity                      钉
tack                             钉钉者
tacker                           粘性
tackiness                        处理
tackle                           拦截手
tackler                          俗气的
tacky                            玉米卷
taco                             机智
tact                             圆滑的
tactful                          圆滑
tactfulness                      策略
tactic                           战术上的
tactical                         战术家
tactician                        触
tactile                          触觉
tactility                        不懂礼貌
tactless                         不圆滑
tactlessness                     塔德
tad                              蝌蚪
tadpole                          塔夫绸
taffeta                          船尾栏杆
taffrail                         太妃糖
taffy                            标签
tag                              标签
tagged                           标记者
tagger                           标记
tagging                          宽面条
tagliatelle                      标语
tagline                          针叶林
taiga                            尾巴
tail                             尾卫
tailback                         尾板
tailboard                        尾骨
tailbone                         燕尾服
tailcoat                         后挡板
tailgate                         尾随者
tailgater                        无尾
tailless                         尾灯
taillight                        裁缝
tailor                           裁缝
tailoring                        尾件
tailpiece                        排气管
tailpipe                         螺旋式下降
tailspin                         顺风
tailwind                         污点
taint                            被污染的
tainted                          拿
take                             外卖
takeaway                         已采取
taken                            起飞
takeoff                          取出
takeout                          收购
takeover                         接受者
taker                            服用
taking                           征收
takings                          滑石
talc                             滑石粉
talcum                           故事
tale                             搬弄是非的人
talebearer                       天赋
talent                           有才华的
talented                         塔利
tali                             护符
talisman                         讲话
talk                             健谈
talkative                        健谈
talkativeness                    说话者
talker                           对讲机
talkie                           话多的
talky                            高的
tall                             高脚男孩
tallboy                          塔利尔
tallier                          塔利什
tallish                          身高
tallness                         脂
tallow                           牛脂状
tallowy                          相符
tally                            塔利霍
tallyho                          爪
talon                            距骨
talus                            谭
tam                              塔马利
tamale                           落叶松
tamarack                         罗望子
tamarind                         铃鼓
tambourine                       驯服
tame                             驯服
tamed                            驯服
tameness                         驯服者
tamer                            他莫昔芬
tamoxifen                        夯
tamp                             篡改
tamper                           篡改者
tamperer                         卫生棉条
tampon                           棕褐色
tan                              唐纳雀
tanager                          檫木
tanbark                          隨機
tandem                           唐杜里
tandoori                         唐
tang                             橘子
tangelo                          切线
tangent                          切向的
tangential                       柑橘
tangerine                        有形性
tangibility                      有形
tangible                         有形性
tangibleness                     有形地
tangibly                         纠结的
tangle's                         纠纷
tangle                           探戈
<p>tango                         浓烈的
tangy                            坦克
tank                             啤酒杯
tankard                          油船
tanker                           满满一罐
tankful                          晒黑
tanned                           皮匠
tanner                           制革厂
tannery                          坦内斯特
tannest                          单宁
tannin                           晒黑
tanning                          艾菊
tansy                            诱惑
tantalization                    吊胃口
tantalize                        诱惑者
tantalizer                       诱人的
tantalizing                      钽
tantalum                         相当于
tantamount                       密宗
tantra                           发脾气
tantrum                          轻敲
tap                              西班牙小吃
tapas                            磁带
tape                             卷尺
tapeline                         锥度
taper                            挂毯
tapestry                         绦虫
tapeworm                         木薯
tapioca                          貘
tapir                            窃听
tapped                           攻丝机
tapper                           挺杆
tappet                           窃听
tapping                          酒吧
taproom                          直根
taproot                          焦油
tar                              塔拉马萨拉塔
taramasalata                     塔兰泰拉舞曲
tarantella                       狼蛛
tarantula                        压缩包
tarball                          迟缓地
tardily                          迟到
tardiness                        迟迟
tardy                            皮重
tare                             目标
target                           关税
tariff                           柏油路
tarmac                           柏油碎石
tarmacadam                       铺有柏油路
tarmacked                        铺柏油路
tarmacking                       塔恩
tarn                             玷污
tarnish                          失去光泽
tarnished                        芋头
taro                             塔罗牌
tarot                            篷布
tarp                             篷布
tarpaulin                        大海鲢
tarpon                           龙蒿
tarragon                         涂上焦油
tarred                           涂焦油
tarring                          逗留
tarry                            跗骨
tarsal                           跗节
tarsi                            睑板
tarsus                           酸
tart                             格子呢
tartan                           鞑靼
tartar                           酒石酸
tartaric                         锋利
tartness                         酸味的
tarty                            电击枪
taser                            任务
task                             任务栏
taskbar                          监工
taskmaster                       任务女工
taskmistress                     流苏
tassel                           品尝
taste                            尝过
tasted                           有品味
tasteful                         品味
tastefulness                     无味
tasteless                        无味
tastelessness                    品尝者
taster                           美味地
tastily                          美味
tastiness                        品尝
tasting                          可口
tasty                            達
tat                              榻榻米
tatami                           土豆
tater                            纹身
tatted                           破布
tatter                           破烂
tatterdemalion                   塔蒂
tattie                           梭织花边
tatting                          告密
tattle                           说闲话的人
tattler                          告密者
tattletale                       纹身
tattoo                           纹身师
tattooer                         纹身师
tattooist                        破旧的
tatty                            麥
tau                              教
taught                           嘲讽
taunt                            嘲弄者
taunter                          嘲讽
taunting                         灰褐色
taupe                            绷紧
taut                             拉紧
tauten                           紧绷
tautness                         同义反复
tautological                     同义反复
tautologous                      同义反复
tautology                        酒馆
tavern                           俗气地
tawdrily                         俗气
tawdriness                       俗气的
tawdry                           黄褐色
tawny                            税
tax                              分类单元
taxa                             税收
taxation                         税务员
taxer                            出租车
taxi                             出租车
taxicab                          动物标本剥制师
taxidermist                      动物标本
taxidermy                        的士計程表
taximeter                        滑行道
taxiway                          税务员
taxman                           税务员
taxmen                           分类单元
taxon                            分类学的
taxonomic                        分类学家
taxonomist                       分类法
taxonomy                         纳税人
taxpayer                         纳税
taxpaying                        结核
tb                               汤匙
tbsp                             茶
tea                              茶包
teabag                           茶饼
teacake                          教
teach                            可教
teachable                        老师
teacher                          教学
teaching                         茶碗
teacup                           茶杯
teacupful                        柚木
teak                             茶壶
teakettle                        蓝绿色
teal                             茶灯
tealight                         团队
team                             队友
teammate                         卡车司机
teamster                         团队合作
teamwork                         茶壶
teapot                           撕
tear                             撕扯
tearaway                         泪珠
teardrop                         内牛满面
tearful                          催泪瓦斯
teargas                          催泪瓦斯
